Local time,Open,High,Low,Close,Volume
01.07.2020 01:22:00.000 GMT-0300,9099,9102,9099,9100,0.42
01.07.2020 01:23:00.000 GMT-0300,9100,9101,9100,9100,0.465
01.07.2020 01:24:00.000 GMT-0300,9101,9103,9100,9103,0.555
01.07.2020 01:25:00.000 GMT-0300,9103,9103,9101,9101,0.3525
01.07.2020 01:26:00.000 GMT-0300,9102,9103,9095,9096,0.3313
01.07.2020 01:27:00.000 GMT-0300,9096,9100,9095,9100,0.0309
01.07.2020 01:28:00.000 GMT-0300,9101,9101,9099,9100,0.5025
01.07.2020 01:29:00.000 GMT-0300,9100,9101,9100,9100,0.285
01.07.2020 01:30:00.000 GMT-0300,9100,9107,9100,9105,0.8175
01.07.2020 01:31:00.000 GMT-0300,9105,9107,9103,9103,0.6975
01.07.2020 01:32:00.000 GMT-0300,9103,9103,9103,9103,0.3
01.07.2020 01:33:00.000 GMT-0300,9103,9103,9101,9102,0.4425
01.07.2020 01:34:00.000 GMT-0300,9102,9103,9100,9102,1.02
01.07.2020 01:35:00.000 GMT-0300,9102,9104,9100,9100,0.9
01.07.2020 01:36:00.000 GMT-0300,9100,9101,9098,9098,0.4807
01.07.2020 01:37:00.000 GMT-0300,9098,9101,9097,9097,0.3168
01.07.2020 01:38:00.000 GMT-0300,9097,9097,9097,9097,0.0018
01.07.2020 01:39:00.000 GMT-0300,9097,9097,9094,9094,0.0018
01.07.2020 01:40:00.000 GMT-0300,9094,9094,9093,9093,0.1283
01.07.2020 01:41:00.000 GMT-0300,9093,9094,9093,9094,0.2551
01.07.2020 01:42:00.000 GMT-0300,9096,9106,9096,9106,0.5402
01.07.2020 01:43:00.000 GMT-0300,9106,9106,9105,9106,0.7875
01.07.2020 01:44:00.000 GMT-0300,9106,9106,9106,9106,0.3825
01.07.2020 01:45:00.000 GMT-0300,9106,9106,9104,9105,0.5479
01.07.2020 01:46:00.000 GMT-0300,9106,9106,9104,9105,0.4051
01.07.2020 01:47:00.000 GMT-0300,9105,9106,9104,9104,0.195
01.07.2020 01:48:00.000 GMT-0300,9106,9106,9102,9103,0.1527
01.07.2020 01:49:00.000 GMT-0300,9103,9103,9102,9102,0.0001
01.07.2020 01:50:00.000 GMT-0300,9103,9103,9102,9102,0.0304
01.07.2020 01:51:00.000 GMT-0300,9102,9102,9099,9102,0.248
01.07.2020 01:52:00.000 GMT-0300,9102,9102,9102,9102,0.0002
01.07.2020 01:53:00.000 GMT-0300,9102,9103,9102,9102,0.0015
01.07.2020 01:54:00.000 GMT-0300,9102,9103,9102,9103,0.0008
01.07.2020 01:55:00.000 GMT-0300,9103,9103,9102,9102,0.001
01.07.2020 01:56:00.000 GMT-0300,9102,9102,9097,9098,0.114
01.07.2020 01:57:00.000 GMT-0300,9097,9098,9097,9098,0.2483
01.07.2020 01:58:00.000 GMT-0300,9098,9098,9097,9097,0.2408
01.07.2020 01:59:00.000 GMT-0300,9097,9098,9096,9097,0.0314
01.07.2020 02:00:00.000 GMT-0300,9097,9097,9091,9091,0.5714
01.07.2020 02:01:00.000 GMT-0300,9091,9094,9091,9092,0.2258
01.07.2020 02:02:00.000 GMT-0300,9093,9093,9091,9092,0.0761
01.07.2020 02:03:00.000 GMT-0300,9092,9093,9092,9093,0.1207
01.07.2020 02:04:00.000 GMT-0300,9093,9093,9092,9092,0.526
01.07.2020 02:05:00.000 GMT-0300,9092,9093,9092,9093,0.0456
01.07.2020 02:06:00.000 GMT-0300,9093,9093,9090,9092,0.0386
01.07.2020 02:07:00.000 GMT-0300,9093,9093,9092,9093,0.3079
01.07.2020 02:08:00.000 GMT-0300,9093,9093,9089,9089,0.0312
01.07.2020 02:09:00.000 GMT-0300,9090,9092,9088,9089,0.3451
01.07.2020 02:10:00.000 GMT-0300,9089,9093,9089,9091,0.4876
01.07.2020 02:11:00.000 GMT-0300,9092,9092,9090,9090,0.1429
01.07.2020 02:12:00.000 GMT-0300,9090,9090,9089,9090,0.0601
01.07.2020 02:13:00.000 GMT-0300,9090,9091,9088,9088,0.0981
01.07.2020 02:14:00.000 GMT-0300,9088,9089,9084,9085,0.0089
01.07.2020 02:15:00.000 GMT-0300,9085,9085,9080,9081,0.0024
01.07.2020 02:16:00.000 GMT-0300,9080,9081,9078,9079,0.002
01.07.2020 02:17:00.000 GMT-0300,9080,9087,9078,9087,0.1811
01.07.2020 02:18:00.000 GMT-0300,9087,9087,9087,9087,0.1875
01.07.2020 02:19:00.000 GMT-0300,9087,9088,9087,9088,0.0007
