,y+1
253,3.3080000000000003
254,3.302
255,2.36
256,2.6519999999999997
257,3.392
258,3.398
259,3.424
260,1.86
261,3.25
262,3.502
263,3.484
264,3.478
265,1.696
266,3.4939999999999998
267,3.4819999999999998
268,3.48
269,3.4739999999999998
270,2.3080000000000003
271,2.926
272,3.472
273,3.48
274,3.4539999999999997
275,3.464
276,1.786
277,3.182
278,3.378
279,3.372
280,3.362
281,3.112
282,1.614
283,3.358
284,3.388
285,3.392
286,2.81
287,2.18
288,3.37
289,3.326
290,2.778
291,2.358
292,0.96
293,1.6059999999999999
294,2.35
295,2.428
296,2.0780000000000003
297,0.78
298,2.426
299,2.412
300,2.428
301,1.53
302,1.3880000000000001
303,2.424
304,2.428
305,2.388
306,0.376
307,2.202
308,2.43
309,2.346
310,1.916
311,0.384
312,2.334
313,2.32
314,2.306
315,2.306
316,0.436
317,1.584
318,2.3280000000000003
319,2.326
320,2.334
321,1.8459999999999999
322,0.284
323,2.342
324,2.392
325,2.414
326,2.414
327,0.754
328,1.42
329,2.468
330,2.474
331,2.488
332,1.81
333,0.674
334,2.444
335,2.41
336,2.412
337,2.206
338,0.37
339,2.104
340,2.404
341,2.418
342,2.342
343,1.262
344,0.852
345,2.34
346,2.336
347,2.334
348,2.33
349,1.038
350,0.386
351,2.35
352,2.346
353,2.346
354,1.834
355,1.222
356,2.342
357,2.334
358,1.666
359,1.198
360,2.35
361,2.398
362,2.444
363,0.406
364,2.434
365,2.502
366,2.5180000000000002
367,1.516
368,1.4980000000000002
369,2.508
370,2.504
371,2.492
372,0.8140000000000001
373,2.3040000000000003
374,2.53
375,2.378
376,0.384
377,2.37
378,2.358
379,2.352
380,0.41600000000000004
381,2.654
382,2.54
383,2.526
384,1.206
385,3.844
386,4.122
387,3.458
388,1.9880000000000002
389,0.596
390,1.29
391,2.73
392,2.734
393,2.764
394,2.5860000000000003
395,1.044
396,1.52
397,3.0380000000000003
398,2.9739999999999998
399,2.846
400,2.8480000000000003
401,2.858
402,2.472
403,0.6579999999999999
404,0.838
405,2.608
406,2.5980000000000003
407,2.56
408,2.526
409,2.472
410,1.6580000000000001
411,0.42200000000000004
412,0.79
413,2.436
414,2.396
415,2.338
416,2.3040000000000003
417,0.276
418,0.7120000000000001
419,2.332
420,2.344
421,2.354
422,2.332
423,2.3680000000000003
424,0.612
425,0.28600000000000003
426,1.952
427,2.376
428,2.374
429,2.406
430,1.004
431,0.38799999999999996
432,1.4580000000000002
433,2.48
434,2.454
435,2.468
436,2.028
437,0.382
438,0.902
439,2.4659999999999997
440,2.456
441,2.45
442,2.448
443,0.93
444,0.28600000000000003
445,1.376
446,2.456
447,2.456
448,2.444
449,2.122
450,0.35600000000000004
451,0.9520000000000001
452,2.426
453,2.42
454,2.412
455,1.008
456,0.43
457,2.676
458,3.766
459,4.582
460,5.282
461,2.362
462,3.25
463,4.618
464,5.242000000000001
465,4.86
466,3.738
467,3.426
468,5.254
469,5.246
470,5.216
471,3.858
472,2.822
473,3.84
474,4.636
475,4.6339999999999995
476,4.652
477,3.13
478,1.756
479,3.478
480,4.5
481,3.552
482,3.94
483,2.44
484,2.08
485,3.6519999999999997
486,4.4319999999999995
487,4.46
488,2.186
489,2.358
490,3.9539999999999997
491,3.7460000000000004
492,3.944
493,3.68
494,1.67
495,3.214
496,4.5
497,3.8
498,2.6639999999999997
499,2.528
500,2.668
501,4.256
502,4.126
503,3.216
504,0.574
505,2.344
506,3.804
507,4.622
508,3.218
509,0.774
510,0.5720000000000001
511,1.952
512,2.608
513,2.6
514,2.568
515,1.334
516,0.36200000000000004
517,1.238
518,2.448
519,2.426
520,1.794
521,0.28800000000000003
522,0.608
523,2.426
524,2.4419999999999997
525,2.428
526,0.674
527,0.306
528,2.09
529,2.508
530,2.228
531,0.308
532,0.29
533,2.4419999999999997
534,2.5140000000000002
535,2.506
536,0.38799999999999996
537,0.5379999999999999
538,2.496
539,2.47
540,2.448
541,0.82
542,0.308
543,2.45
544,2.432
545,2.444
546,1.97
547,0.256
548,0.508
549,2.37
550,2.352
551,2.14
552,0.212
553,0.992
554,2.362
555,2.384
556,1.9280000000000002
557,0.218
558,0.6559999999999999
559,2.398
560,2.412
561,1.672
562,0.226
563,1.632
564,2.352
565,2.3280000000000003
566,0.732
567,0.20600000000000002
568,2.332
569,2.39
570,2.476
571,0.604
572,0.38
573,1.774
574,2.52
575,2.542
576,2.228
577,0.59
578,1.354
579,2.734
580,2.734
581,2.002
582,0.47200000000000003
583,0.8759999999999999
584,2.324
585,2.342
586,2.326
587,0.302
588,0.20800000000000002
589,2.022
590,2.356
591,2.346
592,2.24
593,0.22399999999999998
594,0.424
595,2.344
596,2.3080000000000003
597,2.338
598,1.48
599,0.222
600,0.82
601,2.352
602,2.312
603,2.324
604,0.23199999999999998
605,0.342
606,1.94
607,2.456
608,2.448
609,1.838
610,0.32
611,1.1540000000000001
612,2.4419999999999997
613,2.41
614,2.282
615,0.32
616,0.812
617,2.4459999999999997
618,2.426
619,2.41
620,0.436
621,0.49200000000000005
622,2.424
623,2.392
624,2.3819999999999997
625,0.754
626,0.41200000000000003
627,2.354
628,2.412
629,2.426
630,1.3840000000000001
631,0.292
632,1.33
633,2.396
634,2.4219999999999997
635,2.4019999999999997
636,0.43
637,0.6659999999999999
638,2.42
639,2.39
640,2.4459999999999997
641,0.978
642,0.4
643,2.432
644,2.5
645,2.52
646,0.7879999999999999
647,0.402
648,2.238
649,2.512
650,2.4859999999999998
651,1.936
652,0.376
653,0.9079999999999999
654,2.336
655,2.346
656,2.3280000000000003
657,1.7080000000000002
658,0.20600000000000002
659,0.516
660,2.426
661,2.43
662,2.424
663,2.306
664,0.28800000000000003
665,0.7559999999999999
666,3.498
667,3.522
668,3.46
669,3.4339999999999997
670,1.646
671,1.3359999999999999
672,2.8739999999999997
673,3.41
674,3.412
675,3.386
676,1.844
677,1.4140000000000001
678,3.352
679,3.5
680,3.516
681,3.174
682,1.4280000000000002
683,1.994
684,3.492
685,3.46
686,3.492
687,3.4819999999999998
688,1.492
689,1.3259999999999998
690,3.282
691,3.4219999999999997
692,3.424
693,3.2539999999999996
694,1.32
695,2.294
696,3.4
697,3.4019999999999997
698,3.418
699,2.9939999999999998
700,1.3259999999999998
701,2.02
702,3.378
703,3.372
704,3.3739999999999997
705,3.426
706,1.462
