"","x"
"1",0.309951534852785
"2",0.282938037063731
"3",0.307239427459968
"4",0.402983113789427
"5",0.405565467653125
"6",0.560961848656916
"7",0.451029819446429
"8",0.534740896411756
"9",0.361155895997654
"10",0.413447400255538
"11",0.466884726149868
"12",0.420696536735636
"13",0.404330393807081
"14",0.325920441470638
"15",0.51312548985593
"16",0.408368687068075
"17",0.426272696715132
"18",0.365727911458617
"19",0.376106402806378
"20",0.369019944920014
"21",0.4000147763147
"22",0.38183382862797
"23",0.358804534808845
"24",0.404680840270116
"25",0.399516093570823
"26",0.42945052309627
"27",0.412708698806415
"28",0.277497998632432
"29",0.432686685633025
"30",0.429450632422206
"31",0.377376051700677
"32",0.395641841143361
"33",0.572770319414171
"34",0.445331371936355
"35",0.430513541102152
"36",0.391260513280782
"37",0.37911716360085
"38",0.398858232793868
"39",0.3960417579948
"40",0.416658456616835
"41",0.321223635974663
"42",0.464485981306992
"43",0.326497913282432
"44",0.460411724898246
"45",0.445961746210735
"46",0.317760817267046
"47",0.393184058818429
"48",0.459374128061188
"49",0.42132538593525
"50",0.435040568038518
"51",0.363544154506532
"52",0.402957877726111
"53",0.301241454241596
"54",0.419929238027136
"55",0.460180734407364
"56",0.361829471883508
"57",0.422464373247324
"58",0.399100525391863
"59",0.451713358187396
"60",0.427663651155251
"61",0.358166036247316
"62",0.300669221793764
"63",0.390374900904058
"64",0.383089794534997
"65",0.439158849141494
"66",0.380625588849938
"67",0.391823094009389
"68",0.295859722815463
"69",0.448290722694129
"70",0.528220560032262
"71",0.404861616197082
"72",0.399209491817718
"73",0.411224575225578
"74",0.482697884337451
"75",0.398880052702034
"76",0.4464464905509
"77",0.377512192258034
"78",0.369692067115574
"79",0.399860401275381
"80",0.417474620606927
"81",0.323355262799866
"82",0.439051121846736
"83",0.326882480221612
"84",0.35176907673591
"85",0.434681451980138
"86",0.448832281805513
"87",0.438859831492869
"88",0.324312458723104
"89",0.435413161523649
"90",0.273401700047201
"91",0.408075862452242
"92",0.397324503569162
"93",0.360992678408173
"94",0.420988554316999
"95",0.368009846968349
"96",0.543483988850123
"97",0.321042903033188
"98",0.438339644677049
"99",0.373512636043693
"100",0.424330741954059
"101",0.365945962597965
"102",0.249276839751401
